2022-04-20 05:52:23 install libubsan1:amd64 <none> 8.3.0-6
2022-04-20 05:52:23 status half-installed libubsan1:amd64 8.3.0-6
2022-04-20 05:52:23 status unpacked libubsan1:amd64 8.3.0-6
2022-04-20 05:52:23 install libmpx2:amd64 <none> 8.3.0-6
2022-04-20 05:52:23 status half-installed libmpx2:amd64 8.3.0-6
2022-04-20 05:52:23 status unpacked libmpx2:amd64 8.3.0-6
2022-04-20 05:52:23 install libquadmath0:amd64 <none> 8.3.0-6
2022-04-20 05:52:23 status half-installed libquadmath0:amd64 8.3.0-6
2022-04-20 05:52:23 status unpacked libquadmath0:amd64 8.3.0-6
2022-04-20 05:52:23 install libgcc-8-dev:amd64 <none> 8.3.0-6
2022-04-20 05:52:23 status half-installed libgcc-8-dev:amd64 8.3.0-6
2022-04-20 05:52:23 status unpacked libgcc-8-dev:amd64 8.3.0-6
2022-04-20 05:52:23 install gcc-8:amd64 <none> 8.3.0-6
2022-04-20 05:52:23 status half-installed gcc-8:amd64 8.3.0-6
2022-04-20 05:52:24 status unpacked gcc-8:amd64 8.3.0-6
2022-04-20 05:52:24 install gcc:amd64 <none> 4:8.3.0-1
2022-04-20 05:52:24 status half-installed gcc:amd64 4:8.3.0-1
2022-04-20 05:52:24 status unpacked gcc:amd64 4:8.3.0-1
2022-04-20 05:52:24 install gnupg-l10n:all <none> 2.2.12-1+deb10u1
2022-04-20 05:52:24 status half-installed gnupg-l10n:all 2.2.12-1+deb10u1
2022-04-20 05:52:24 status unpacked gnupg-l10n:all 2.2.12-1+deb10u1
2022-04-20 05:52:24 install gnupg-utils:amd64 <none> 2.2.12-1+deb10u1
2022-04-20 05:52:24 status half-installed gnupg-utils:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:24 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:24 install libsqlite3-0:amd64 <none> 3.27.2-3+deb10u1
2022-04-20 05:52:24 status half-installed libsqlite3-0:amd64 3.27.2-3+deb10u1
2022-04-20 05:52:24 status unpacked libsqlite3-0:amd64 3.27.2-3+deb10u1
2022-04-20 05:52:24 install gpg:amd64 <none> 2.2.12-1+deb10u1
2022-04-20 05:52:24 status half-installed gpg:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:24 status unpacked gpg:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:24 install pinentry-curses:amd64 <none> 1.1.0-2
2022-04-20 05:52:24 status half-installed pinentry-curses:amd64 1.1.0-2
2022-04-20 05:52:24 status unpacked pinentry-curses:amd64 1.1.0-2
2022-04-20 05:52:24 install gpg-agent:amd64 <none> 2.2.12-1+deb10u1
2022-04-20 05:52:24 status half-installed gpg-agent:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:24 status unpacked gpg-agent:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:24 install gpg-wks-client:amd64 <none> 2.2.12-1+deb10u1
2022-04-20 05:52:24 status half-installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:24 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:24 install gpg-wks-server:amd64 <none> 2.2.12-1+deb10u1
2022-04-20 05:52:24 status half-installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:24 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:24 install gpgsm:amd64 <none> 2.2.12-1+deb10u1
2022-04-20 05:52:24 status half-installed gpgsm:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:24 status unpacked gpgsm:amd64 2.2.12-1+deb10u1
2022-04-20 05:52:24 install gnupg:all <none> 2.2.12-1+deb10u1
2022-04-20 05:52:24 status half-installed gnupg:all 2.2.12-1+deb10u1
